brand	name	address	city	state	zip	phone	url	lat	lon	other	site_id
Honda	Lia Honda	293 King St	Northampton	MA	01060	(413) 586-8626	https://www.liahondanorthampton.com/	42.332775	-72.635101	CVA Enhanced Purchase Program, PAX Certified Service, Internet Certified, Honda Test Drive Enabled, Express Service Program, Tire Certified, Honda EItems Certified, AHFC Certified Dealer, Retail and Service Dealer, Oil Certified, Dealer Digital Program, Certified Used Dealer	208356
Honda	Lundgren Honda of Greenfield	409 Federal St	Greenfield	MA	01301	(413) 774-3200	http://lundgrenhondagreenfield.com/	42.605453	-72.589249	CVA Enhanced Purchase Program, Internet Certified, Honda Test Drive Enabled, Express Service Program, Honda EItems Certified, AHFC Certified Dealer, Retail and Service Dealer, Dealer Digital Program, Certified Used Dealer	208555
Honda	Balise Honda	400 Riverdale St	W Springfield	MA	01089	(413) 306-3034	https://www.balisehonda.com/	42.117256	-72.624924	CVA Enhanced Purchase Program, PAX Certified Service, Internet Certified, Honda Test Drive Enabled, Service - XTime Program, Express Service Program, Tire Certified, OSS Enabled, Honda EItems Certified, AHFC Certified Dealer, Retail and Service Dealer, Oil Certified, Dealer Digital Program, Certified Used Dealer	206675
Honda	Curry Honda	767 Memorial Dr	Chicopee	MA	01020	(413) 593-6721	https://www.curryhondamass.com/index.cfm	42.178593	-72.576813	CVA Enhanced Purchase Program, DEALER LONG TERM DEBT NOTE FL, Certified Express Service, PAX Certified Service, Internet Certified, Honda Test Drive Enabled, Express Service Program, Tire Certified, Child Safety Day, Honda EItems Certified, AHFC Certified Dealer, Retail and Service Dealer, Battery Electric Vehicle, Council of Excellence Award, Oil Certified, Dealer Digital Program, Certified Used Dealer	208185
Honda	Lia Honda	20 Palomba Dr	Enfield	CT	06082	(888) 964-6632	http://www.liahondaofenfield.com/	41.996826	-72.574394	CVA Enhanced Purchase Program, Certified Express Service, PAX Certified Service, Internet Certified, Honda Test Drive Enabled, Honda Environment Award Silver, Express Service Program, Tire Certified, Honda EItems Certified, AHFC Certified Dealer, Retail and Service Dealer, Oil Certified, Dealer Digital Program, Certified Used Dealer	207477
Honda	Honda of Keene	567 Monadnock Hwy	Swanzey	NH	03446	(603) 354-6000	https://www.hondaofkeene.com/	42.875805	-72.231644	CVA Enhanced Purchase Program, PAX Certified Service, Internet Certified, Honda Test Drive Enabled, Service - XTime Program, Express Service Program, Tire Certified, OSS Enabled, Honda EItems Certified, AHFC Certified Dealer, Retail and Service Dealer, Oil Certified, Dealer Digital Program	207916
Honda	Liberty Honda	71 W Service Rd	Hartford	CT	06120	(860) 251-6851	https://www.libertyhonda.com/	41.785816	-72.660492	CVA Enhanced Purchase Program, GX Service, Certified Express Service, PAX Certified Service, Internet Certified, GX Retail, Honda Environment Award Silver, Honda Test Drive Enabled, Express Service Program, GX Fleet, Tire Certified, Honda EItems Certified, AHFC Certified Dealer, Retail and Service Dealer, Battery Electric Vehicle, Oil Certified, Dealer Digital Program, Certified Used Dealer	207664
Honda	Lundgren Honda of Auburn	163 Washington St	Auburn	MA	01501	(508) 832-6200	https://www.lundgrenhondaofauburn.com/	42.207611	-71.810539	CVA Enhanced Purchase Program, Certified Express Service, Internet Certified, Honda Test Drive Enabled, Service - XTime Program, Express Service Program, Tire Certified, OSS Enabled, Honda EItems Certified, AHFC Certified Dealer, Retail and Service Dealer, Battery Electric Vehicle, Oil Certified, Dealer Digital Program, Certified Used Dealer	206762
Honda	Bedard Bros. Honda	391 S State Rd	Cheshire	MA	01225	(413) 743-0014	https://www.bedardhonda.com/	42.552322	-73.165138	CVA Enhanced Purchase Program, Certified Express Service, PAX Certified Service, Internet Certified, Honda Test Drive Enabled, Service - XTime Program, Express Service Program, Tire Certified, OSS Enabled, Honda EItems Certified, AHFC Certified Dealer, Retail and Service Dealer, Oil Certified, Dealer Digital Program, Certified Used Dealer	206817
Honda	The Honda Store	500 Old Union Tpke	Lancaster	MA	01523	(978) 345-1800	https://www.thehondastore-lancaster.com/	42.520241	-71.701241	CVA Enhanced Purchase Program, DEALER LONG TERM DEBT NOTE FL, Certified Express Service, Internet Certified, Express Service Program, Tire Certified, Child Safety Day, Honda EItems Certified, AHFC Certified Dealer, Retail and Service Dealer, Oil Certified, Dealer Digital Program, Certified Used Dealer	207637
Honda	Manchester Honda	24 Adams St	Manchester	CT	06042	(860) 645-3100	https://www.manchesterhonda.com/	41.795876	-72.553795	DEALER LONG TERM DEBT NOTE FL, GX Service, PAX Certified Service, Service - XTime Program, Solar Dealer, Retail and Service Dealer, AHFC Certified Dealer, Honda EItems Certified, Battery Electric Vehicle, Dealer Digital Program, Certified Used Dealer, Internet Certified, GX Retail, Express Service Program, CVA Enhanced Purchase Program, GX Fleet, Tire Certified, OSS Enabled, Oil Certified	206794
Honda	Herb Chambers Honda of Westborough	350 Turnpike Rd	Westborough	MA	01581	(855) 301-4660	http://www.herbchambershondaofwestborough.com/	42.282551	-71.660004	CVA Enhanced Purchase Program, DEALER LONG TERM DEBT NOTE FL, Internet Certified, Service - XTime Program, Express Service Program, OSS Enabled, Honda EItems Certified, AHFC Certified Dealer, Retail and Service Dealer, Battery Electric Vehicle, Dealer Digital Program, Certified Used Dealer	208411
Honda	Hoffman Honda	40 Albany Tpke	West Simsbury	CT	06092	(860) 651-3501	http://www.hoffmanhonda.com/	41.819366	-72.868111	CVA Enhanced Purchase Program, PAX Certified Service, Internet Certified, Honda Test Drive Enabled, President Club, Service - XTime Program, Express Service Program, Tire Certified, OSS Enabled, Honda EItems Certified, AHFC Certified Dealer, Honda Environment Award Gold, Battery Electric Vehicle, Retail and Service Dealer, Oil Certified, Dealer Digital Program, Certified Used Dealer	207195
Honda	Schaller Honda	1 Veterans Dr	New Britain	CT	06051	(860) 826-2023	http://www.schallerhonda.com/	41.648548	-72.771507	CVA Enhanced Purchase Program, Certified Express Service, Internet Certified, Service - XTime Program, Express Service Program, Tire Certified, OSS Enabled, Honda EItems Certified, AHFC Certified Dealer, Retail and Service Dealer, Battery Electric Vehicle, Oil Certified, Dealer Digital Program, Certified Used Dealer	207221
Honda	Boch Honda West	299 Littleton Rd	Westford	MA	01886	(978) 589-4200	https://www.bochhondawest.com/	42.555367	-71.44249	DEALER LONG TERM DEBT NOTE FL, Internet Certified, Honda Test Drive Enabled, Service - XTime Program, Express Service Program, OSS Enabled, Honda EItems Certified, AHFC Certified Dealer, Retail and Service Dealer, Dealer Digital Program, Certified Used Dealer	208680
Honda	Sullivan Honda	2015 E Main St	Torrington	CT	06790	(860) 496-0077	http://sullivanhonda.com/	41.821449	-73.074539	CVA Enhanced Purchase Program, DEALER LONG TERM DEBT NOTE FL, Certified Express Service, Internet Certified, Honda Test Drive Enabled, Service - XTime Program, Express Service Program, OSS Enabled, Honda EItems Certified, AHFC Certified Dealer, Retail and Service Dealer, Dealer Digital Program, Certified Used Dealer	208611
Honda	Executive Honda	1194 N Colony Rd	Wallingford	CT	06492	(203) 949-7400	https://www.executivehonda.com/	41.504501	-72.810387	CVA Enhanced Purchase Program, DEALER LONG TERM DEBT NOTE FL, PAX Certified Service, Internet Certified, Honda Test Drive Enabled, Express Service Program, Tire Certified, Honda EItems Certified, AHFC Certified Dealer, Retail and Service Dealer, Battery Electric Vehicle, Oil Certified, Dealer Digital Program, Certified Used Dealer	206879
Honda	Bernardi Honda	960 Worcester St	Natick	MA	01760	(508) 319-5400	https://bernardihondanatick.com/	42.299217	-71.364029	CVA Enhanced Purchase Program, Certified Express Service, PAX Certified Service, Internet Certified, Honda Test Drive Enabled, Service - XTime Program, Express Service Program, Tire Certified, OSS Enabled, Honda EItems Certified, AHFC Certified Dealer, Retail and Service Dealer, Oil Certified, Dealer Digital Program, Certified Used Dealer	207478
Honda	Majestic Honda	1300 Eddie Dowling Hwy	Lincoln	RI	02865	(401) 775-2202	http://www.majestichonda.com/	41.954575	-71.487793	GX Service, Certified Express Service, Internet Certified, GX Retail, Service - XTime Program, Express Service Program, OSS Enabled, Retail and Service Dealer, AHFC Certified Dealer, Battery Electric Vehicle, Dealer Digital Program, Certified Used Dealer	208665
Honda	Atamian Honda	150 Main St	Tewksbury	MA	01876	(978) 851-4356	https://www.hondaatamian.com/	42.626225	-71.269127	CVA Enhanced Purchase Program, DEALER LONG TERM DEBT NOTE FL, PAX Certified Service, Internet Certified, Service - XTime Program, Tire Certified, OSS Enabled, Retail and Service Dealer, AHFC Certified Dealer, Oil Certified, Dealer Digital Program, Certified Used Dealer	207184
Honda	Bennington Honda	751 N Bennington Rd	Bennington	VT	05201	(802) 447-3321	https://www.carbonehondabennington.com/	42.908985	-73.220978	Internet Certified, Service - XTime Program, OSS Enabled, Retail and Service Dealer, AHFC Certified Dealer, Dealer Digital Program, Certified Used Dealer	208709
Honda	Honda of Watertown	816 Straits Tpke	Watertown	CT	06795	(860) 945-3611	http://www.hondaofwatertown.com/	41.57	-73.098846	CVA Enhanced Purchase Program, DEALER LONG TERM DEBT NOTE FL, PAX Certified Service, Internet Certified, Honda Test Drive Enabled, Service - XTime Program, Express Service Program, Tire Certified, OSS Enabled, Honda EItems Certified, AHFC Certified Dealer, Retail and Service Dealer, Battery Electric Vehicle, Oil Certified, Dealer Digital Program, Certified Used Dealer	207268
Honda	Honda Village	371 Washington St	Newton	MA	02458	(617) 965-8200	https://www.hondavillage.com/	42.356384	-71.188652	CVA Enhanced Purchase Program, PAX Certified Service, Internet Certified, Honda Test Drive Enabled, Express Service Program, Tire Certified, Child Safety Day, Retail and Service Dealer, AHFC Certified Dealer, Battery Electric Vehicle, Oil Certified, Dealer Digital Program, Certified Used Dealer	206930
Honda	Cambridge Honda	275 Fresh Pond Pkwy	Cambridge	MA	02138	(617) 864-5900	https://www.cambridgehonda.com/	42.383923	-71.142288	CVA Enhanced Purchase Program, Internet Certified, Honda Test Drive Enabled, Service - XTime Program, Express Service Program, Tire Certified, OSS Enabled, Honda EItems Certified, AHFC Certified Dealer, Retail and Service Dealer, Council of Excellence Award, Battery Electric Vehicle, Oil Certified, Dealer Digital Program, Certified Used Dealer	208097
Honda	Grieco Honda	1880 Hartford Ave	Johnston	RI	02919	(401) 553-6000	http://www.metrohondari.com/	41.82769	-71.514221	CVA Enhanced Purchase Program, DEALER LONG TERM DEBT NOTE FL, Certified Express Service, PAX Certified Service, Internet Certified, Honda Test Drive Enabled, Express Service Program, Tire Certified, Honda EItems Certified, AHFC Certified Dealer, Retail and Service Dealer, Oil Certified, Dealer Digital Program, Certified Used Dealer	208089
Honda	Herb Chambers Honda of Burlington	33 Cambridge St	Burlington	MA	01803	(781) 273-5000	http://www.herbchambershondaofburlington.com/	42.482674	-71.18943	CVA Enhanced Purchase Program, DEALER LONG TERM DEBT NOTE FL, PAX Certified Service, Internet Certified, President Club, Service - XTime Program, Express Service Program, Tire Certified, OSS Enabled, Honda EItems Certified, AHFC Certified Dealer, Retail and Service Dealer, Battery Electric Vehicle, Oil Certified, Dealer Digital Program, Certified Used Dealer	207753
Honda	Commonwealth Honda	6 Commonwealth Dr	Lawrence	MA	01841	(978) 687-3000	http://www.commonwealthhonda.com/	42.713577	-71.139244	CVA Enhanced Purchase Program, PAX Certified Service, Internet Certified, Express Service Program, Tire Certified, Honda EItems Certified, AHFC Certified Dealer, Retail and Service Dealer, Oil Certified, Dealer Digital Program, Certified Used Dealer	207893
Honda	Prime Honda	1575 Vfw Pkwy	Boston	MA	02132	(888) 261-0390	https://www.primehondacars.com/	42.266281	-71.169518	CVA Enhanced Purchase Program, DEALER LONG TERM DEBT NOTE FL, Certified Express Service, Internet Certified, Honda Test Drive Enabled, Service - XTime Program, Express Service Program, OSS Enabled, Retail and Service Dealer, AHFC Certified Dealer, Battery Electric Vehicle, Dealer Digital Program, Certified Used Dealer	208470
Honda	Rockingham Honda	402 S Broadway	Salem	NH	03079	(603) 893-7766	https://www.rockinghamhonda.com/	42.749535	-71.204796	CVA Enhanced Purchase Program, Certified Express Service, PAX Certified Service, Internet Certified, Honda Test Drive Enabled, President Club, Service - XTime Program, Express Service Program, Tire Certified, OSS Enabled, Honda EItems Certified, AHFC Certified Dealer, Retail and Service Dealer, Oil Certified, Dealer Digital Program, Certified Used Dealer	208225
